mainshock_id,mainshock_time,mainshock_lat,mainshock_lon,mainshock_mag,mainshock_depth,early_aftershock_count,early_max_mag,early_mean_mag,early_energy_sum,target_max_mag,target_time_to_max_days
iscgem779563,1971-10-23 22:33:32.420000+00:00,11.886,142.552,6.54,22.9,2,6.51,6.355,493174841677502.9,0.0,0.0
iscgem779689,1971-10-27 17:58:40.010000+00:00,-15.594,167.298,6.8,52.3,0,0.0,0.0,0.0,0.0,0.0
iscgem779742,1971-10-28 18:00:00.300000+00:00,-13.417,166.45,6.64,20.0,0,0.0,0.0,0.0,0.0,0.0
iscgem779829,1971-10-30 20:48:51.010000+00:00,23.031,121.377,6.02,41.5,0,0.0,0.0,0.0,0.0,0.0
iscgem778388,1971-11-08 03:06:36.620000+00:00,26.993,54.517,6.04,17.2,0,0.0,0.0,0.0,0.0,0.0
iscgem778871,1971-11-27 13:45:12.220000+00:00,29.176,130.248,6.15,47.7,0,0.0,0.0,0.0,0.0,0.0
iscgem777414,1971-12-02 17:18:22.070000+00:00,44.882,153.322,6.56,15.5,0,0.0,0.0,0.0,0.0,0.0
iscgem777492,1971-12-05 05:50:09.700000+00:00,49.429,-129.757,6.03,17.1,0,0.0,0.0,0.0,0.0,0.0
iscgem777545,1971-12-07 03:26:18.990000+00:00,-54.434,5.838,6.16,10.0,0,0.0,0.0,0.0,0.0,0.0
iscgem777588,1971-12-08 16:05:27.860000+00:00,-22.86,-70.55,6.1,30.7,0,0.0,0.0,0.0,0.0,0.0
iscgem777617,1971-12-09 15:00:56.600000+00:00,-21.695,173.41,6.07,10.0,0,0.0,0.0,0.0,0.0,0.0
iscgem777661,1971-12-11 07:25:20.250000+00:00,-6.13,154.561,6.35,59.1,0,0.0,0.0,0.0,0.0,0.0
iscgem777750,1971-12-15 08:29:55.870000+00:00,55.955,163.225,7.62,20.0,1,6.3,6.3,177827941003892.28,0.0,0.0
iscgem776618,1972-01-01 22:05:55.600000+00:00,-16.949,174.893,6.77,10.0,0,0.0,0.0,0.0,0.0,0.0
iscgem776759,1972-01-07 06:25:49.110000+00:00,-2.163,138.99,6.0,25.0,0,0.0,0.0,0.0,0.0,0.0
iscgem776783,1972-01-08 05:27:51.710000+00:00,21.009,120.289,6.4,13.1,0,0.0,0.0,0.0,6.05,17.451806944444446
iscgem776951,1972-01-15 20:21:49.260000+00:00,40.201,78.944,6.2,13.5,0,0.0,0.0,0.0,0.0,0.0
iscgem777013,1972-01-18 21:55:17.770000+00:00,-4.856,144.983,6.52,29.1,2,6.36,6.245,317631471860649.3,0.0,0.0
iscgem777120,1972-01-22 13:08:47.670000+00:00,14.027,-91.106,6.06,60.0,0,0.0,0.0,0.0,0.0,0.0
iscgem777137,1972-01-22 21:50:38.220000+00:00,-20.406,172.93,6.3,10.0,0,0.0,0.0,0.0,0.0,0.0
iscgem777164,1972-01-23 21:17:56.620000+00:00,-13.278,166.428,6.93,55.7,1,6.1,6.1,89125093813374.4,0.0,0.0
iscgem777208,1972-01-25 02:06:24.680000+00:00,22.598,122.284,7.3,27.1,1,7.11,7.11,2917427014001166.0,0.0,0.0
iscgem776099,1972-02-09 20:44:34.970000+00:00,-51.859,-74.071,6.0,15.0,0,0.0,0.0,0.0,0.0,0.0
iscgem776309,1972-02-19 07:59:18.390000+00:00,-11.132,162.907,6.09,20.8,0,0.0,0.0,0.0,0.0,0.0
iscgem776454,1972-02-25 01:17:15.390000+00:00,-60.666,-25.696,6.3,29.1,0,0.0,0.0,0.0,0.0,0.0
iscgem776553,1972-02-29 09:23:00.670000+00:00,33.446,140.89,7.15,46.4,1,6.05,6.05,74989420933245.58,0.0,0.0
iscgemsup774943,1972-03-01 09:04:39.750000+00:00,-18.981,-173.696,6.01,10.0,0,0.0,0.0,0.0,0.0,0.0
iscgem774945,1972-03-01 09:28:56.780000+00:00,40.528,-125.502,6.02,11.1,0,0.0,0.0,0.0,0.0,0.0
iscgem775498,1972-03-20 07:33:50.530000+00:00,-6.873,-76.769,6.4,51.9,0,0.0,0.0,0.0,0.0,0.0
iscgem775639,1972-03-24 03:38:28.600000+00:00,56.132,-157.19,6.36,69.6,0,0.0,0.0,0.0,0.0,0.0
iscgem775684,1972-03-25 12:15:30.860000+00:00,-3.554,150.175,6.36,30.4,0,0.0,0.0,0.0,0.0,0.0
