window,threshold,margin,strength,cap,visible_mae,visible_rmse,visible_max_abs,visible_changed,oof_mae_delta,oof_rmse_delta,oof_high_mae_delta,oof_changed
T1,7.0,1.0,0.1,0.5,0.41000000000000003,0.5549774770204643,1.5999999999999996,10,-0.013115760091269912,-0.007132622479360862,-0.07932560933391342,356
T1,7.0,1.0,0.2,0.5,0.4050000000000001,0.5463515351859093,1.4999999999999991,13,-0.023774196305261563,-0.012891549666060875,-0.143276226617864,391
T1,7.0,1.0,0.3,0.5,0.41000000000000014,0.5422176684690384,1.3999999999999995,15,-0.03212810577028202,-0.017339837594473106,-0.19339968340798752,401
T1,7.0,1.0,0.4,0.5,0.4200000000000002,0.5585696017507576,1.299999999999999,15,-0.03728859959744257,-0.0201528875707786,-0.22436264637095038,402
T1,7.0,1.0,0.5,0.5,0.4450000000000001,0.5757603668193914,1.1999999999999993,15,-0.037000533753821285,-0.02114142912989836,-0.222634251309222,402
T1,7.0,1.0,0.6,0.5,0.4650000000000002,0.5757603668193912,1.1000000000000005,15,-0.03608695350690749,-0.021137660972863515,-0.21715276982774045,403
T1,7.0,1.0,0.7,0.5,0.4900000000000002,0.6066300355241242,1.2000000000000002,15,-0.030572550214726713,-0.01920978227159109,-0.1840663500746541,403
T1,7.0,1.0,0.8,0.5,0.5299999999999999,0.6410928169929843,1.2000000000000002,15,-0.02250670659332732,-0.015975173719859903,-0.13567128834625908,403
T1,7.0,1.0,0.9,0.5,0.57,0.6826419266350405,1.3000000000000007,15,-0.011041686017195795,-0.010958163267914323,-0.06688116488946894,403
T1,7.0,1.0,1.0,0.5,0.6050000000000001,0.7179832867135558,1.3000000000000007,15,0.0024562563696355344,-0.00466175118000578,0.014106489431518598,403
T1,7.0,1.1,0.1,0.5,0.41500000000000004,0.5518151864528559,1.5999999999999996,7,-0.012251562560405604,-0.006699841740072543,-0.07414042414872823,342
T1,7.0,1.1,0.2,0.5,0.4,0.5403702434442518,1.4999999999999991,13,-0.0226630851941505,-0.012439616896883443,-0.1366095599511974,385
T1,7.0,1.1,0.3,0.5,0.39000000000000007,0.5347896782848375,1.3999999999999995,13,-0.03146966955629016,-0.016812899030594686,-0.18944906612403678,394
T1,7.0,1.1,0.4,0.5,0.39500000000000013,0.5352569476429054,1.299999999999999,13,-0.03669600700484987,-0.019720541233374078,-0.22080709081539485,396
T1,7.0,1.1,0.5,0.5,0.41500000000000015,0.5472659317004851,1.1999999999999993,13,-0.0395108218196647,-0.02161721118525195,-0.2376959797042838,397
T1,7.0,1.1,0.6,0.5,0.43500000000000016,0.5581218504950332,1.1000000000000005,15,-0.038523167498677235,-0.021845434927374452,-0.2317700537783578,401
T1,7.0,1.1,0.7,0.5,0.46000000000000013,0.5727128425310541,1.1000000000000005,15,-0.034605472025425854,-0.020779904069889277,-0.20826388093885162,402
T1,7.0,1.1,0.8,0.5,0.48000000000000026,0.5924525297439451,1.1000000000000005,15,-0.028309175729130054,-0.01833444611545776,-0.17048610316107393,402
T1,7.0,1.1,0.9,0.5,0.5200000000000001,0.6316644678941503,1.2000000000000002,15,-0.01906637737522021,-0.01450654413434549,-0.1150293130376171,402
T1,7.0,1.1,1.0,0.5,0.54,0.6526867548832288,1.2000000000000002,15,-0.008449093424603094,-0.009520063554855351,-0.05132560933391339,402
T1,7.0,1.2,0.1,0.5,0.4050000000000001,0.5445181356024793,1.5999999999999996,5,-0.011963496716784094,-0.006461212330350907,-0.07241202908699984,322
T1,7.0,1.2,0.2,0.5,0.4,0.5357238094391549,1.4999999999999991,11,-0.021716583136537126,-0.011942936112879998,-0.13093054760551837,374
T1,7.0,1.2,0.3,0.5,0.3950000000000001,0.5352569476429054,1.3999999999999995,13,-0.03081123334229874,-0.01635658474048407,-0.18549844884008615,383
T1,7.0,1.2,0.4,0.5,0.3750000000000001,0.5191338940966964,1.299999999999999,13,-0.03644909342460312,-0.019491786286245816,-0.21932560933391332,389
T1,7.0,1.2,0.5,0.5,0.3750000000000001,0.5133225107084239,1.1999999999999993,13,-0.03881123334229852,-0.021203039419488867,-0.2334984488400862,391
T1,7.0,1.2,0.6,0.5,0.4000000000000002,0.5366563145999496,1.1999999999999993,13,-0.04016925803365656,-0.02224389424426665,-0.24164659698823432,394
T1,7.0,1.2,0.7,0.5,0.41500000000000004,0.5389805191284747,1.0999999999999996,13,-0.03753551317768977,-0.02170861089392817,-0.2258441278524319,395
T1,7.0,1.2,0.8,0.5,0.43500000000000016,0.5590169943749475,1.1000000000000005,13,-0.03395526626410916,-0.020326339737073873,-0.20436264637095047,395
